0_Index,1_Name,2_Tax,3_mean_genus_perc,4_perc_samples,Family
2,Alkalilimnicola,genus,19.910127586776373,100,Halorhodospiraceae
3,Thioalkalivibrio,genus,18.04498131727911,100,Ectothiorhodospiraceae
4,Roseinatronobacter,genus,5.047828207821124,100,Rhodobacteraceae
5,Halothiobacillus,genus,8.784973190474016,100,Halothiobacillaceae
8,Halomonas,genus,4.872623270741904,100,Halomonadaceae
9,Acholeplasma,genus,4.433910833861156,100,Acholeplasmataceae
10,Aliidiomarina,genus,1.9295861989251717,100,Idiomarinaceae
11,Psychroflexus,genus,0.9950157564365412,100,Flavobacteriaceae
12,Thioalkalimicrobium,genus,1.3585426630060662,100,Thiomicrospiraceae
13,Desulfurispirillum,genus,0.7949452747527217,100,Chrysiogenaceae
14,Thioalkalibacter,genus,0.9510191252725911,100,Thioalkalibacteraceae
15,Salinarimonas,genus,0.36740940600646244,100,Beijerinckiaceae
17,Izimaplasma,genus,0.20091921540636412,100,Izemoplasmataceae
18,Nitrincola,genus,0.4298016297443734,100,Nitrincolaceae
19,Stappia,genus,0.10542088965395031,91.66666666666666,Stappiaceae
20,Alkalispirillum,genus,0.19990784411745008,100,Halorhodospiraceae
22,Wenzhouxiangella,genus,0.10035885805298092,91.66666666666666,Unknown_Family
24,Azoarcus,genus,0.16339014573474292,100,Rhodocyclaceae
1,Fodinicurvataceae,family,18.612394384383947,100,Fodinicurvataceae
6,Thiomicrospiraceae,family,5.824213475717608,100,Thiomicrospiraceae
7,Rhodobacteraceae,family,5.0132104946221245,100,Rhodobacteraceae
16,Peptostreptococcales-Tissierellales,family,0.3360017287504421,100,Peptostreptococcales-Tissierellales
21,Ectothiorhodospiraceae,family,0.12213095321667256,83.33333333333334,Ectothiorhodospiraceae
23,Nitriliruptoraceae,family,0.18796745778922616,100,Nitriliruptoraceae
